mH(GeV)	CrossSection(pb)	+QCDScale%	-QCDScale%	(PDF+as)%	+full%	-full%
2450.	0.005218006372957502	8.3	-6.	11.	13.780058055030104	-12.529964086141668
2500.	0.004672852857549524	8.4	-6.1	11.3	14.080127840328723	-12.841339493993608
2550.	0.004186316033419735	8.5	-6.2	11.6	14.380890097626086	-13.152946437965905
2600.	0.0037651405162295055	8.6	-6.2	12.	14.76346842716846	-13.507035203922436
2650.	0.0033808835653764344	8.7	-6.3	12.3	15.065855435387665	-13.819551367537226
2700.	0.0030392786707280736	8.7	-6.3	12.6	15.311760186209813	-14.087228258248675
2750.	0.0027290997058698496	8.8	-6.4	12.9	15.61569723067145	-14.4003472180361
2800.	0.0024653861730833193	8.9	-6.5	13.3	16.00312469488381	-14.803377992877166
2850.	0.0022146962634617545	8.9	-6.6	13.6	16.253307355735323	-15.116877984557526
2900.	0.0020070611152052304	8.9	-6.7	13.9	16.505150711217393	-15.430489298787645
2950.	0.0018034971168987817	8.9	-6.8	14.3	16.843396332094073	-15.83445610054226
3000.	0.0016311809789125592	8.9	-6.9	14.6	17.098830369355678	-16.148374531202823
