mG(GeV)	Gamma[ktilda=0.1](GeV)	gluglu	WW ZZ	γγ	tt	hh 
315	0.01430879387854874	0.0032625704928460546	0.6271810104282577	0.3540249425463791	0.0004078213116057568	0.	0.015090348823619966
316	0.014410043519659951	0.0032705984434464293	0.6269620016807192	0.3537877145412173	0.00040882480543080366	0.	0.015537472110585577
317	0.014511892441506047	0.0032785741178836584	0.6267407445642338	0.35354840146058825	0.0004098217647354573	0.	0.01598898818662474
318	0.014614343787328603	0.0032864975342967824	0.626517273427048	0.3533070709648362	0.0004108121917870978	0.	0.01644479502255403
319	0.014717400668811243	0.003294368723428385	0.62629162310069	0.35306378939643446	0.00041179609042854814	0.	0.016904791409473173
320	0.01482106616704329	0.003302187728155767	0.6260638288478924	0.35281862180290435	0.00041277346601947086	0.	0.01736887698845239
321	0.01492534333344899	0.0033099546030369302	0.6258339263131866	0.35257163195928715	0.0004137443253796163	0.	0.017836952277985194
322	0.015030235190683871	0.0033176694138707906	0.6256019514760357	0.35232288239017323	0.0004147086767338488	0.	0.01830891869932167
323	0.015135744733499554	0.00332533223727115	0.6253679406063876	0.3520724343913123	0.00041566652965889376	0.	0.018784678599791604
324	0.015241874929578356	0.003332943160253921	0.6251319302225288	0.35182034805081125	0.0004166178950317401	0.	0.019264135274220207
325	0.015348628720338967	0.003340502279837132	0.6248939570511309	0.3515666822699356	0.0004175627849796415	0.	0.019747192984533864
326	0.01545600902171433	0.0033480097026533217	0.6246540579893879	0.3513114947835257	0.0004185012128316652	0.	0.020233756977648204
327	0.015564018724902911	0.00335546554457384	0.62441227006914	0.3510548421800404	0.00041943319307173	0.	0.020723733501725686
328	0.015672660697094377	0.0033628699303447215	0.6241686304228986	0.3507967799212359	0.0004203587412930902	0.	0.021217029820885573
329	0.01578193778217082	0.0033702229932336828	0.6239231762516766	0.3505373623614953	0.00042127787415421035	0.	0.02171355422844462
330	0.015891852801384308	0.0033775248746879586	0.6236759447945454	0.3502766427668143	0.0004221906093359948	0.	0.022213216058763297
331	0.0160024085540119	0.003384775724002546	0.6234269732998348	0.35001467333345515	0.00042309696550031823	0.	0.02271592569776798
332	0.016113607817988866	0.0033919756979985897	0.6231762989979035	0.34975150520627685	0.0004239969622498237	0.	0.023221594592216583
333	0.016225453350521054	0.003399124960711543	0.622923959075404	0.34948718849674937	0.0004248906200889429	0.	0.023730135257771377
334	0.016337947888677103	0.0034062236830888332	0.6226699906509758	0.34922177230066376	0.00042577796038610415	0.	0.024241461285940052
335	0.01645109414996139	0.0034132720426967096	0.6224144307523041	0.34895530471553976	0.0004266590053370887	0.	0.024755487349942658
336	0.016564894832868344	0.003420270223436007	0.6221573162944747	0.3486878328577449	0.0004275337779295009	0.	0.025272129209559693
337	0.016679352617418923	0.0034272184152665496	0.6218986840595723	0.3484194028793271	0.0004284023019083187	0.	0.0257913037150137
338	0.016794470165679816	0.003434116813939933	0.621638570677464	0.34815005998457	0.0004292646017424916	0.	0.02631292880993458
339	0.016910250122266105	0.003440965620740438	0.6213770126077118	0.3478798484462777	0.00043012070259255475	0.	0.026836923533456156
340	0.017026695114827996	0.003447765042233821	0.6211140461225662	0.3476088116217927	0.0004309706302792276	0.	0.027363208021489466
341	0.01714380775452208	0.003454515290023773	0.6208497072909895	0.3473369919687562	0.0004318144112529716	0.	0.027891703507216342
342	0.017261590636467893	0.0034612165805157896	0.620584031963664	0.34706443106061224	0.0004326520725644737	0.	0.0284223323208444
343	0.01738004634019013	0.003467869134688265	0.6203170557589373	0.34679116960186623	0.00043348364183603313	0.	0.028955017888663177
344	0.01749917743004712	0.003474473177870582	0.6200488140496675	0.34651724744309736	0.00043430914723382275	0.	0.02948968473143911
345	0.017618986455646028	0.0034810289395280076	0.6197793419509213	0.346242703595734	0.00043512861744100095	0.	0.030026258462185217
346	0.017739475952245277	0.003487536653053187	0.619508674308491	0.34596757624659535	0.00043594208163164836	0.	0.030564665783340102
347	0.017860648441144596	0.0034939965555640636	0.6192368456881918	0.3456919027722025	0.00043674956944550795	0.	0.03110483448338901
348	0.017982506430063237	0.0035004088877080134	0.6189638903659008	0.34541571975286534	0.0004375511109635017	0.	0.031646693432958346
349	0.018105052413506597	0.003506773893472064	0.6186898423183105	0.345139062986549	0.000438346736684008	0.	0.03219017258041385
350	0.018228288873121834	0.0035130918199989727	0.6184147352143582	0.3448619675025218	0.0004391364774998716	0.	0.032735202946990796
351	0.018355330282363837	0.0035187662366390486	0.618033801786875	0.344526045942733	0.0004398457795798811	0.00016954226773477287	0.0332760739637738
352	0.018485762410023372	0.0035238863532854403	0.6175633606219396	0.3441404698373111	0.00044048579416068004	0.00048249699423902624	0.033813324051647824
353	0.018618766242898176	0.0035286167148585426	0.6170327537536224	0.3437216518705522	0.00044107708935731783	0.000891600598789728	0.034348275280068376
354	0.018754076181675697	0.003533014180146397	0.6164522718698492	0.34327537186246304	0.00044162677251829963	0.0013803669235349927	0.03488127875234184
355	0.018891551941999492	0.0035371110317174875	0.6158278336724838	0.3428049671665706	0.00044213887896468593	0.0019393657102738393	0.035412472023818246
356	0.019031107483684497	0.0035409288649521213	0.6151634469381819	0.3423127065219399	0.00044261610811901516	0.0025622479626919953	0.03594190305982275
357	0.019172685833894802	0.0035444835302536047	0.6144620863335999	0.3418002802641906	0.0004430604412817006	0.003244328853415232	0.036469573691935875
358	0.019316247567691087	0.003547787402581169	0.6137260974095424	0.3412690260128022	0.00044347342532264614	0.003981935770974102	0.03699545931318122
359	0.01946176470599574	0.0035508505871367745	0.6129574116802831	0.340720048864499	0.0004438563233920968	0.00477206133858667	0.03751951921782962
360	0.019609217153756225	0.003553681624601883	0.6121576726958139	0.3401542918713767	0.0004442102030752354	0.005612160079853204	0.03804170258473794
361	0.019758590470893955	0.0035562879329994134	0.6113283152027571	0.3395725803106335	0.0004445359916249267	0.006500020774348558	0.038561952189507774
